time,IL
1.335750888568986e-06,0.0001
1.344398590770177e-06,0.0001
1.352891581611635e-06,0.0001
1.361502571229013e-06,0.0001
1.365808066037702e-06,0.0001
1.374419055655079e-06,0.0001
1.382502503612685e-06,0.0001
1.385955782858833e-06,0.0001
1.392862341351131e-06,0.0001
1.400911121837118e-06,0.0001
1.409436584328832e-06,0.0001
1.418473104835713e-06,0.0001
1.422991365089153e-06,0.0001
1.432027885596034e-06,0.0001
1.434221447006062e-06,0.0001
1.438606741553293e-06,0.0001
1.443617552800026e-06,0.0001
1.448305376717274e-06,0.0001
1.453038267348236e-06,0.0001
1.456433138397355e-06,0.0001
1.459727474968615e-06,0.0001
1.463646535825622e-06,0.0001
1.467803939551263e-06,0.0001
1.47207237901283e-06,0.0001
1.47675947442039e-06,0.0001
1.48239945417446e-06,0.0001
1.490204515563678e-06,0.0001
1.503021235593658e-06,0.0001
1.514435870425048e-06,0.0001
1.526647269183573e-06,0.0001
1.541286536235757e-06,0.0001
1.558333137421504e-06,0.0001
1.578862572142408e-06,0.0001
1.605467394322641e-06,0.0001
1.63946154527658e-06,0.0001
1.683149847297306e-06,0.0001
1.748396540264902e-06,0.0001
1.848396540264902e-06,0.0001
1.948396540264902e-06,0.0001
2.048396540264902e-06,0.0001
2.148396540264902e-06,0.0001
2.248396540264902e-06,0.0001
2.348396540264901e-06,0.0001
2.424203270132451e-06,0.0001
2.50001e-06,0.0001
2.5000490625e-06,0.0001777343750003811
2.500091823532565e-06,0.0002628288298047929
2.500111891225803e-06,0.0003027635393477214
2.500133896953149e-06,0.0003465549367662958
2.500155945700715e-06,0.0003904319444230858
2.500189033451324e-06,0.0004562765681352101
2.500218622337234e-06,0.0005151584510957571
2.50024526640043e-06,0.0005681801368548486
2.500276419353185e-06,0.0006301745128387172
2.500325535698806e-06,0.0007279160406246539
2.500361380704066e-06,0.0007992476010903219
2.500395053955477e-06,0.0008662573713988232
2.500433300260371e-06,0.0009423675181374454
2.500485652809949e-06,0.001046549091799385
2.500563979955992e-06,0.001202420112423144
2.500642082974874e-06,0.001357845119998622
2.500724054086775e-06,0.001520967632681258
2.500819632667027e-06,0.00171116900738345
2.500941152057688e-06,0.001952992594798735
2.501088700369661e-06,0.002246613735625304
2.501218204168301e-06,0.002504326294918974
2.50134141921963e-06,0.002749524247063206
2.501473073362181e-06,0.00301151599074063
2.501632358196642e-06,0.003328492811317149
2.501877325773601e-06,0.00381597828946515
2.502117458104913e-06,0.004293841628776393
2.502329538852675e-06,0.004715882316823954
2.502531360282087e-06,0.005117506961353803
2.502720883622938e-06,0.005494658409646348
2.502905483412957e-06,0.005862011991784791
2.503093245535803e-06,0.006235658616247318
2.503293273705244e-06,0.006633714673435772
2.503484208032821e-06,0.00701367398531279
2.503660759857213e-06,0.007365012115853599
2.503827271592663e-06,0.007696370469398453
2.50399115556788e-06,0.008022499580081039
2.504162192768579e-06,0.008362863609472552
2.504335324459907e-06,0.008707395675215323
2.504499195639814e-06,0.009033499323229782
2.504656726186957e-06,0.009346985112043417
2.504810536267701e-06,0.009653067172725266
2.504962585586637e-06,0.009955645317406843
2.505115330696419e-06,0.01025960808587439
2.505272188642068e-06,0.01057175539771479
2.505439511578208e-06,0.01090472804063471
2.505590881128993e-06,0.01120595344669681
2.5057297574677e-06,0.01148231736072307
2.505867097000317e-06,0.01175562303063111
2.506017779099771e-06,0.01205548040854373
2.506195817490882e-06,0.01240977680685604
2.506376896116915e-06,0.01277012327266157
2.506571064108126e-06,0.01315651757517022
2.50678555173035e-06,0.01358334794339723
2.507004373377343e-06,0.01401880302091242
2.507246314427467e-06,0.01450026571065924
2.50752672035224e-06,0.01505827350095748
2.507875401786506e-06,0.01575214955514653
2.508258592901873e-06,0.01651469987472663
2.508667767568587e-06,0.01732895746148852
2.509089782635059e-06,0.01816876744376722
2.509514989509401e-06,0.01901492912370762
2.5097624947547e-06,0.0195074645618533
2.51001e-06,0.01999999999999981
2.51002419213185e-06,0.02
2.510038188858939e-06,0.02
2.510054107316532e-06,0.02
2.510074208810389e-06,0.02
2.510089800936481e-06,0.02
2.51010472874071e-06,0.02
2.510120860961304e-06,0.02
2.510139026146938e-06,0.02
2.510161004301796e-06,0.02
2.510189487077156e-06,0.02
2.510233067840346e-06,0.02
2.510297935337826e-06,0.02
2.510349912310198e-06,0.02
2.510404670643739e-06,0.02
2.510469415435677e-06,0.02
2.510554622438181e-06,0.02
2.51068521139857e-06,0.02
2.510829149458093e-06,0.02
2.510993392461278e-06,0.02
2.511172853736516e-06,0.02
2.511351344400369e-06,0.02
2.51154925140154e-06,0.02
2.511788598608019e-06,0.02
2.512064221451115e-06,0.02
2.512417487449921e-06,0.02
2.512829438512216e-06,0.02
2.513598665316609e-06,0.02
2.514305127869258e-06,0.02
2.514999157489466e-06,0.02
2.515785999612378e-06,0.02
2.516644363033468e-06,0.02
2.517583360164403e-06,0.02
2.518622621918518e-06,0.02
2.519734760339865e-06,0.02
2.520884708096072e-06,0.02
2.522147419602804e-06,0.02
2.52364497925839e-06,0.02
2.52414756876813e-06,0.02
2.525152747787608e-06,0.02
2.527163105826564e-06,0.02
2.529535029369386e-06,0.02
2.532269932294501e-06,0.02
2.536128098189704e-06,0.02
2.540958588501015e-06,0.02
2.547042161513905e-06,0.02
2.556256793085662e-06,0.02
2.567025344466933e-06,0.02
2.576612519702712e-06,0.02
2.59241707613071e-06,0.02
2.606414374560737e-06,0.02
2.621284542837056e-06,0.02
2.639961061098006e-06,0.02
2.663441342378094e-06,0.02
2.694194283036561e-06,0.02
2.735414682555027e-06,0.02
2.790999166919955e-06,0.02
2.871956198542916e-06,0.02
2.971956198542916e-06,0.02
3.071956198542916e-06,0.02
3.171956198542916e-06,0.02
3.271956198542916e-06,0.02
3.371956198542916e-06,0.02
3.471956198542916e-06,0.02
3.571956198542915e-06,0.02
3.671956198542915e-06,0.02
3.74001e-06,0.02
3.7400490625e-06,0.01992226562499962
3.740095456307238e-06,0.01982994194859661
3.74011445174366e-06,0.01979214103011714
3.740138226570659e-06,0.01974482912438833
3.740159436476788e-06,0.01970262141119179
3.740181094461631e-06,0.01965952202135467
3.740207614935899e-06,0.01960674627756009
3.740244591076069e-06,0.01953316375862293
3.740318543356408e-06,0.0193859987207486
3.740371888289558e-06,0.01927984230378031
3.740426163968151e-06,0.01917183370338049
3.740490608913325e-06,0.01904358826248257
3.740576392975456e-06,0.01887287797884181
3.740712233471444e-06,0.01860255539182574
3.74087105487674e-06,0.01828650079528758
3.741046948680333e-06,0.01793647212613753
3.74123979589596e-06,0.01755270616703882
3.74146270765636e-06,0.017109111763843
3.741707890331045e-06,0.01662119824122018
3.741990637435018e-06,0.01605853150431414
3.742395788744977e-06,0.0152522803974962
3.742889969512353e-06,0.01426886067041679
3.743741231975782e-06,0.01257484836819315
3.744470406504137e-06,0.01112379105676751
3.745239688687345e-06,0.009592919512182852
3.746074958300544e-06,0.007930732981917873
3.746947629387911e-06,0.006194117518057261
3.747812882916969e-06,0.004472262995231915
3.748617266694491e-06,0.002871539277963964
3.749329034488261e-06,0.001455121368359777
3.749669517244131e-06,0.0007775606841799836
3.75001e-06,0.0001
3.750026989370481e-06,0.0001
3.75004382642712e-06,0.0001
3.750062601130222e-06,0.0001
3.750078121403111e-06,0.0001
3.750093663969725e-06,0.0001
3.750109279964374e-06,0.0001
3.750126451080114e-06,0.0001
3.750147010082894e-06,0.0001
3.750173880542797e-06,0.0001
3.750216028095596e-06,0.0001
3.75027517403891e-06,0.0001
3.75033950940431e-06,0.0001
3.750422095938825e-06,0.0001
3.750526282904881e-06,0.0001
3.750634512299701e-06,0.0001
3.750748993182429e-06,0.0001
3.750874964188693e-06,0.0001
3.751023111919517e-06,0.0001
3.751230053252818e-06,0.0001
3.751485767675532e-06,0.0001
3.751702200265751e-06,0.0001
3.751924044705636e-06,0.0001
3.752195680880306e-06,0.0001
3.752515975681961e-06,0.0001
3.752838958793682e-06,0.0001
3.753191950024396e-06,0.0001
3.753510142669676e-06,0.0001
3.753864093946852e-06,0.0001
3.75424268265874e-06,0.0001
3.754696500870028e-06,0.0001
3.755205970532525e-06,0.0001
3.755763137776455e-06,0.0001
3.756383370976017e-06,0.0001
3.757092384383215e-06,0.0001
3.757924910070095e-06,0.0001
3.758835928307269e-06,0.0001
3.759772782579498e-06,0.0001
3.760772036033402e-06,0.0001
3.7618672826733e-06,0.0001
3.763104469826758e-06,0.0001
3.764554190716969e-06,0.0001
3.766312915449784e-06,0.0001
3.768529557401117e-06,0.0001
3.771470131736486e-06,0.0001
3.775460779023934e-06,0.0001
3.781007922291283e-06,0.0001
3.789200130030621e-06,0.0001
3.797177676901409e-06,0.0001
3.805386910808425e-06,0.0001
3.813546829111627e-06,0.0001
3.817626788263227e-06,0.0001
3.825786706566428e-06,0.0001
3.833615211839077e-06,0.0001
3.842187595886313e-06,0.0001
3.850690629443252e-06,0.0001
3.85928199914919e-06,0.0001
3.863577684002158e-06,0.0001
3.872169053708094e-06,0.0001
3.880260135373214e-06,0.0001
3.889042452128969e-06,0.0001
3.897632966055496e-06,0.0001
3.906304396469034e-06,0.0001
3.915179499375453e-06,0.0001
3.919617050828662e-06,0.0001
3.92849215373508e-06,0.0001
3.93116836882771e-06,0.0001
3.936520799012969e-06,0.0001
3.937952986334535e-06,0.0001
3.940817360977666e-06,0.0001
3.945156029233001e-06,0.0001
3.948817417247825e-06,0.0001
3.952377703472889e-06,0.0001
3.955568427560602e-06,0.0001
3.958818979922642e-06,0.0001
3.96278203721516e-06,0.0001
3.966988869015479e-06,0.0001
3.971225348911322e-06,0.0001
3.975889872291927e-06,0.0001
3.981399968924679e-06,0.0001
3.988846634340465e-06,0.0001
4.000705532032264e-06,0.0001
4.011719658227182e-06,0.0001
4.023581094930334e-06,0.0001
4.037687869381728e-06,0.0001
4.054086313771723e-06,0.0001
4.073704253567294e-06,0.0001
4.098705110729407e-06,0.0001
4.131404124031063e-06,0.0001
4.172368272552287e-06,0.0001
4.232954199113289e-06,0.0001
4.332954199113289e-06,0.0001
4.432954199113289e-06,0.0001
4.532954199113289e-06,0.0001
4.632954199113289e-06,0.0001
4.732954199113289e-06,0.0001
4.832954199113289e-06,0.0001
4.932954199113289e-06,0.0001
5.00001e-06,0.0001
5.0000490625e-06,0.0001777343749995383
5.000091824327109e-06,0.0002628304109456864
5.00011189303689e-06,0.000302767143411464
5.000133899191238e-06,0.0003465593905632038
5.000155948710914e-06,0.0003904379347178887
5.000189038130431e-06,0.0004562858795564265
5.000218626963141e-06,0.0005151676566506157
5.000245271841451e-06,0.0005681909644861316
5.000276426781916e-06,0.0006301892960116016
5.00032554464521e-06,0.000727933843967606
5.000361389457363e-06,0.0007992650201520399
5.000395063834977e-06,0.0008662770316039634
5.000433312448679e-06,0.000942391772871553
5.000485672022642e-06,0.001046587325056151
5.00056400241751e-06,0.001202464810844066
5.00064210908678e-06,0.001357897082690847
5.000724086548563e-06,0.001521032231639536
5.00081967592798e-06,0.001711255096678882
5.000941209571616e-06,0.001953107047514661
5.001088765119913e-06,0.002246742588626025
5.001218269170225e-06,0.002504455648748063
5.001341491216555e-06,0.002749667520943329
5.001473159264537e-06,0.003011686936427901
5.001632475716434e-06,0.003328726675702886
5.001877459600668e-06,0.003816244605329448
5.002117581039997e-06,0.004294086269593448
5.002329658962773e-06,0.004716121335918531
5.002531532390623e-06,0.005117849457339676
5.002721113896355e-06,0.005495116653746037
5.002905773389164e-06,0.005862589044435555
5.003093602065096e-06,0.006236368109540631
5.003293656319642e-06,0.006634476076087381
5.003484559933685e-06,0.007014374268033225
5.003661084965133e-06,0.007365659080614094
5.003827581294797e-06,0.007696986776644574
5.003991470023847e-06,0.008023125347454991
5.004162533662036e-06,0.008363541987450479
5.004335644191636e-06,0.008708031941354962
5.004499499120152e-06,0.009034103249101397
5.004657020819235e-06,0.009347571430277311
5.004810825316754e-06,0.009653642380340824
5.004962873702709e-06,0.009956218668391139
5.005115622930667e-06,0.01026018963202711
5.005272493200602e-06,0.01057236146919786
5.005439845551038e-06,0.01090539264656532
5.005591184984543e-06,0.01120655811924006
5.005730045716421e-06,0.01148289097567753
5.005867394551252e-06,0.01175621515699159
5.00601812517075e-06,0.01205616908979112
5.006196165284052e-06,0.01241046891526224
5.006377265656685e-06,0.01277085865680305
5.006571478326882e-06,0.01315734187049385
5.00678600585102e-06,0.01358425164352919
5.007004858891573e-06,0.01401976919423067
5.007246863009194e-06,0.01450135738829568
5.007527368784741e-06,0.01505956388163315
5.007876134808977e-06,0.01575360826986288
5.008259405176261e-06,0.01651631630075842
5.008668617025508e-06,0.01733064788076116
5.009090646729363e-06,0.0181704869914325
5.009515857863495e-06,0.0190166571483552
5.009762928931748e-06,0.01950832857417835
5.01001e-06,0.01999999999999981
5.01002417767078e-06,0.02
5.010038159862168e-06,0.02
5.010054064613122e-06,0.02
5.010074135036011e-06,0.02
5.010089723729675e-06,0.02
5.010104647038857e-06,0.02
5.010120772335384e-06,0.02
5.010138927663962e-06,0.02
5.010160887216574e-06,0.02
5.010189332136787e-06,0.02
5.010232786937209e-06,0.02
5.010297912134794e-06,0.02
5.010349915285553e-06,0.02
5.010404657328983e-06,0.02
5.010469375637492e-06,0.02
5.010554507891436e-06,0.02
5.010685083868561e-06,0.02
5.010829015967004e-06,0.02
5.010993239950886e-06,0.02
5.011172698143335e-06,0.02
5.011351181112577e-06,0.02
5.011549056893616e-06,0.02
5.011788399925909e-06,0.02
5.012063979729042e-06,0.02
5.012417254377721e-06,0.02
5.012829112504705e-06,0.02
5.013597537125272e-06,0.02
5.014304132600512e-06,0.02
5.014998077220924e-06,0.02
5.015784818309792e-06,0.02
5.016643093340401e-06,0.02
5.01758196998546e-06,0.02
5.018621093812419e-06,0.02
5.019733433315819e-06,0.02
5.020883268949984e-06,0.02
5.022145794229992e-06,0.02
5.023643042694565e-06,0.02
5.024145669102579e-06,0.02
5.025150921918605e-06,0.02
5.027161427550659e-06,0.02
5.029533416274127e-06,0.02
5.032267914859113e-06,0.02
5.036124461790145e-06,0.02
5.040953954137239e-06,0.02
5.047036902900924e-06,0.02
5.056246575341617e-06,0.02
5.067012136162243e-06,0.02
5.076597821447379e-06,0.02
5.092401255045813e-06,0.02
5.106395898355528e-06,0.02
5.121262485188356e-06,0.02
5.139934017263288e-06,0.02
5.163406621559975e-06,0.02
5.19414703545213e-06,0.02
5.235352815565164e-06,0.02
5.290912980263703e-06,0.02
5.371823795903494e-06,0.02
5.471823795903494e-06,0.02
5.571823795903494e-06,0.02
5.671823795903494e-06,0.02
5.771823795903494e-06,0.02
5.871823795903494e-06,0.02
5.971823795903494e-06,0.02
6.071823795903494e-06,0.02
6.171823795903494e-06,0.02
6.24001e-06,0.02
6.2400490625e-06,0.01992226562500046
6.240095456307222e-06,0.01982994194862779
6.24011445173477e-06,0.01979214104780915
6.240138226562114e-06,0.01974482914139346
6.240159436467982e-06,0.01970262142871608
6.24018109445291e-06,0.01965952203870872
6.240207614925787e-06,0.01960674629768526
6.240244591060856e-06,0.01953316378889623
6.240318543330996e-06,0.01938599877131816
6.24037188826456e-06,0.01927984235352645
6.240426163941621e-06,0.01917183375617502
6.240490608881733e-06,0.01904358832535191
6.240576392931845e-06,0.01887287806562807
6.240712239196412e-06,0.01860254399914069
6.240871068405879e-06,0.0182864738723012
6.241046963154413e-06,0.01793644332271928
6.24123981135861e-06,0.0175526753963662
6.241462725736405e-06,0.01710907578455451
6.241707919953286e-06,0.01662113929296145
6.241990685664648e-06,0.01605843552735137
6.242395840019599e-06,0.01525217836099773
6.242890041456098e-06,0.0142687175023651
6.243741298542662e-06,0.01257471590010405
6.244470494175775e-06,0.01112361659020907
6.245239784327517e-06,0.009592729188242539
6.246075057908881e-06,0.007930534761328113
6.246947730196626e-06,0.006193916908713947
6.247812979232403e-06,0.004472071327517962
6.248617353618235e-06,0.002871366299712238
6.249329110313679e-06,0.00145497047577986
6.249669555156839e-06,0.000777485237890025
6.25001e-06,0.0001
6.250026988414691e-06,0.0001
6.250043824414795e-06,0.0001
6.250062598089251e-06,0.0001
6.25007811836711e-06,0.0001
6.250093660766685e-06,0.0001
6.250109276464779e-06,0.0001
6.250126447156154e-06,0.0001
6.250147005409557e-06,0.0001
6.250173874401996e-06,0.0001
6.250216017388746e-06,0.0001
6.250275160340949e-06,0.0001
6.2503394940503e-06,0.0001
6.250422074881804e-06,0.0001
6.250526265481217e-06,0.0001
6.250634499018503e-06,0.0001
6.25074898358671e-06,0.0001
6.250874958377815e-06,0.0001
6.251023109701992e-06,0.0001
6.251230052272532e-06,0.0001
6.25148576505499e-06,0.0001
6.251702198565537e-06,0.0001
6.251924042455003e-06,0.0001
6.25219567612032e-06,0.0001
6.252515971213118e-06,0.0001
6.252838954516152e-06,0.0001
6.25319194807241e-06,0.0001
6.253510141275063e-06,0.0001
6.253864091564212e-06,0.0001
6.254242679835331e-06,0.0001
6.254696496204352e-06,0.0001
6.255205965332464e-06,0.0001
6.255763132264284e-06,0.0001
6.256383364908569e-06,0.0001
6.25709237736535e-06,0.0001
6.257924901647653e-06,0.0001
6.258835919862582e-06,0.0001
6.259772773701087e-06,0.0001
6.260772026400615e-06,0.0001
6.261867272010037e-06,0.0001
6.263104457558586e-06,0.0001
6.264554176096151e-06,0.0001
6.266312897403133e-06,0.0001
6.268529534170301e-06,0.0001
6.27147010024674e-06,0.0001
6.275460736871799e-06,0.0001
6.281007860981448e-06,0.0001
6.289200044283432e-06,0.0001
6.297177590503331e-06,0.0001
6.305386823375655e-06,0.0001
6.313546741302391e-06,0.0001
6.317626700265758e-06,0.0001
6.325786618192494e-06,0.0001
6.333615122427247e-06,0.0001
6.342187505751322e-06,0.0001
6.35069053949252e-06,0.0001
6.359281908681689e-06,0.0001
6.363577593276274e-06,0.0001
6.372168962465444e-06,0.0001
6.380260044059892e-06,0.0001
6.389042361159811e-06,0.0001
6.397632876197773e-06,0.0001
6.406304305549532e-06,0.0001
