time,VOUT
2.504722989985435e-06,1.555596220725673
2.504911397557697e-06,1.570139517634456
2.505090118807972e-06,1.584484669054139
2.505263485660855e-06,1.598474113415766
2.505433875309781e-06,1.611883988061101
2.505604269068168e-06,1.624575650979809
2.50577814444763e-06,1.636442128044703
2.505961133053459e-06,1.647462788702404
2.506139725844607e-06,1.656619770359514
2.506302968236111e-06,1.663596757578944
2.506460750582621e-06,1.669148828074717
2.506627551053481e-06,1.673883468436331
2.506824842115741e-06,1.678216484935777
2.507021082579986e-06,1.681419177205739
2.507225269362309e-06,1.683830778852985
2.507448332112103e-06,1.685633417734493
2.507696436363449e-06,1.686846694274509
2.507962709822079e-06,1.687418603552635
2.508265804604004e-06,1.687340503195461
2.508625899111033e-06,1.686457204999215
2.509011995320508e-06,1.684789169761892
2.509420290656131e-06,1.682469847969379
2.509715145328066e-06,1.680566890018927
2.51001e-06,1.678583181845865
2.510026036223677e-06,1.679113695183369
2.510041745136498e-06,1.679445422610817
2.51005921161071e-06,1.679744764489526
2.510075153746385e-06,1.679961396871873
2.510091011931343e-06,1.680134968090878
2.51010648934572e-06,1.680274767276397
2.510123043040716e-06,1.680402256360123
2.510141872599107e-06,1.680530247256385
2.510164401482935e-06,1.680671352077966
2.510193299885728e-06,1.680847255662972
2.510236601228917e-06,1.681120219365882
2.510308235730017e-06,1.681620809676959
2.510362875279037e-06,1.682046022363561
2.510420288816762e-06,1.682529731463939
2.510489039891503e-06,1.683150026445428
2.510581949817945e-06,1.684040372379936
2.510731484850163e-06,1.685535113434974
2.51089219174488e-06,1.687138617152664
2.511068679922977e-06,1.688801793561055
2.511279363480052e-06,1.690575419231811
2.511499373901121e-06,1.692165821948724
2.511736338544926e-06,1.693618936427093
2.512015644627751e-06,1.695069559577066
2.512313651226723e-06,1.696385246521264
2.512692128406717e-06,1.697782648313581
2.513143128584664e-06,1.699095016780012
2.513765519985204e-06,1.700367587012088
2.514669966646146e-06,1.701406386128768
